dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,8.281680,2.282000,8.281708,7.813000,0.000000,0.000000,0.000000
0.010000,8.359810,2.282000,8.359838,7.813000,0.000000,0.000000,0.000000
0.010000,8.437940,2.282000,8.437968,7.813000,-0.000000,-0.000000,0.000000
0.010000,8.516070,2.282000,8.516098,7.813000,0.000000,0.000000,0.000000
0.010000,8.594200,2.282000,8.594228,7.813000,0.000000,0.000000,0.000000
0.010000,8.672330,2.282000,8.672358,7.813000,0.000000,0.000000,0.000000
0.010000,8.750460,2.282000,8.750488,7.813000,0.000000,0.000000,0.000000
0.010000,8.828590,2.282000,8.828618,7.813000,0.000000,0.000000,0.000000
0.010000,8.906720,2.282000,8.906748,7.813000,0.000000,0.000000,0.000000
0.010000,8.984850,2.282000,8.984878,7.813000,-0.000000,-0.000000,0.000000
0.010000,9.062980,2.282000,9.063008,7.813000,0.000000,0.000000,0.000000
0.010000,9.141110,2.282000,9.141138,7.813000,0.000000,0.000000,0.000000
0.010000,9.219240,2.282000,9.219268,7.813000,0.000000,0.000000,0.000000
0.010000,9.297370,2.282000,9.297398,7.813000,0.000000,0.000000,0.000000
0.010000,9.375500,2.282000,9.375528,7.813000,-0.000000,-0.000000,0.000000
0.010000,9.453630,2.282000,9.453658,7.813000,0.000000,0.000000,0.000000
0.010000,9.531760,2.282000,9.531788,7.813000,0.000000,0.000000,0.000000
0.010000,9.609890,2.282000,9.609918,7.813000,0.000000,0.000000,0.000000
0.010000,9.688020,2.282000,9.688048,7.813000,0.000000,0.000000,0.000000
0.010000,9.766150,2.282000,9.766178,7.813000,0.000000,0.000000,0.000000
0.010000,9.844280,2.282000,9.844308,7.813000,-0.000000,-0.000000,0.000000
0.010000,9.922410,2.282000,9.922438,7.813000,0.000000,0.000000,0.000000
0.010000,10.000400,2.282000,10.000428,7.799000,-1.400000,-140.000000,0.000000
0.010000,10.078530,2.282000,10.078558,7.813000,1.400000,280.000000,0.000000
0.010000,10.156660,2.282000,10.156688,7.813000,0.000000,-140.000000,0.000000
0.010000,10.234790,2.282000,10.234818,7.813000,0.000000,0.000000,0.000000
0.010000,10.312920,2.282000,10.312948,7.813000,0.000000,-0.000000,0.000000
0.010000,10.391050,2.282000,10.391078,7.813000,0.000000,0.000000,0.000000
0.010000,10.469180,2.282000,10.469208,7.813000,-0.000000,-0.000000,0.000000
0.010000,10.547310,2.282000,10.547338,7.813000,-0.000000,-0.000000,0.000000
0.010000,10.625440,2.282000,10.625468,7.813000,-0.000000,0.000000,0.000000
0.010000,10.703570,2.282000,10.703598,7.813000,0.000000,0.000000,0.000000
0.010000,10.781700,2.282000,10.781728,7.813000,-0.000000,-0.000000,0.000000
0.010000,10.859830,2.282000,10.859858,7.813000,0.000000,0.000000,0.000000
0.010000,10.937960,2.282000,10.937988,7.813000,0.000000,0.000000,0.000000
0.010000,11.016090,2.282000,11.016118,7.813000,0.000000,-0.000000,0.000000
0.010000,11.094220,2.282000,11.094248,7.813000,0.000000,-0.000000,0.000000
0.010000,11.172350,2.282000,11.172378,7.813000,0.000000,0.000000,0.000000
0.010000,11.250480,2.282000,11.250508,7.813000,0.000000,0.000000,0.000000
0.010000,11.328610,2.282000,11.328638,7.813000,0.000000,0.000000,0.000000
0.010000,11.406740,2.282000,11.406768,7.813000,0.000000,0.000000,0.000000
0.010000,11.484870,2.282000,11.484898,7.813000,0.000000,0.000000,0.000000
0.010000,11.563000,2.282000,11.563028,7.813000,-0.000000,-0.000000,0.000000
0.010000,11.641130,2.282000,11.641158,7.813000,0.000000,0.000000,0.000000
0.010000,11.719260,2.282000,11.719288,7.813000,0.000000,0.000000,0.000000
0.010000,11.797390,2.282000,11.797418,7.813000,-0.000000,-0.000000,0.000000
0.010000,11.875520,2.282000,11.875548,7.813000,-0.000000,0.000000,0.000000
0.010000,11.953650,2.282000,11.953678,7.813000,-0.000000,0.000000,0.000000
0.010000,12.031780,2.282000,12.031808,7.813000,0.000000,0.000000,0.000000
0.010000,12.109910,2.282000,12.109938,7.813000,-0.000000,-0.000000,0.000000
0.010000,12.188040,2.282000,12.188068,7.813000,0.000000,0.000000,0.000000
0.010000,12.266170,2.282000,12.266198,7.813000,-0.000000,-0.000000,0.000000
0.010000,12.344300,2.282000,12.344328,7.813000,0.000000,0.000000,0.000000
0.010000,12.422430,2.282000,12.422458,7.813000,-0.000000,-0.000000,0.000000
0.010000,12.500560,2.282000,12.500588,7.813000,0.000000,0.000000,0.000000
0.010000,12.578690,2.282000,12.578718,7.813000,-0.000000,-0.000000,0.000000
0.010000,12.656820,2.282000,12.656848,7.813000,0.000000,0.000000,0.000000
0.010000,12.734950,2.282000,12.734978,7.813000,-0.000000,-0.000000,0.000000
0.010000,12.813080,2.282000,12.813108,7.813000,0.000000,0.000000,0.000000
0.010000,12.891210,2.282000,12.891238,7.813000,-0.000000,-0.000000,0.000000
0.010000,12.969340,2.282000,12.969368,7.813000,0.000000,0.000000,0.000000
0.010000,13.047470,2.282000,13.047498,7.813000,0.000000,0.000000,0.000000
0.010000,13.125600,2.282000,13.125628,7.813000,0.000000,0.000000,0.000000
0.010000,13.203730,2.282000,13.203758,7.813000,-0.000000,-0.000000,0.000000
0.010000,13.281860,2.282000,13.281888,7.813000,0.000000,0.000000,0.000000
0.010000,13.359990,2.282000,13.360018,7.813000,-0.000000,-0.000000,0.000000
0.010000,13.438120,2.282000,13.438148,7.813000,0.000000,0.000000,0.000000
0.010000,13.516250,2.282000,13.516278,7.813000,-0.000000,-0.000000,0.000000
0.010000,13.594380,2.282000,13.594408,7.813000,0.000000,0.000000,0.000000
0.010000,13.672510,2.282000,13.672538,7.813000,0.000000,0.000000,0.000000
0.010000,13.750640,2.282000,13.750668,7.813000,0.000000,0.000000,0.000000
0.010000,13.828770,2.282000,13.828798,7.813000,0.000000,0.000000,0.000000
0.010000,13.906900,2.282000,13.906928,7.813000,0.000000,0.000000,0.000000
0.010000,13.985030,2.282000,13.985058,7.813000,0.000000,0.000000,0.000000
0.010000,14.063160,2.282000,14.063188,7.813000,0.000000,0.000000,0.000000
0.010000,14.141290,2.282000,14.141318,7.813000,0.000000,0.000000,0.000000
0.010000,14.219420,2.282000,14.219448,7.813000,0.000000,0.000000,0.000000
0.010000,14.297550,2.282000,14.297578,7.813000,0.000000,0.000000,0.000000
0.010000,14.375680,2.282000,14.375708,7.813000,0.000000,0.000000,0.000000
0.010000,14.453810,2.282000,14.453838,7.813000,0.000000,0.000000,0.000000
0.010000,14.531940,2.282000,14.531968,7.813000,0.000000,0.000000,0.000000
0.010000,14.610070,2.282000,14.610098,7.813000,-0.000000,-0.000000,0.000000
0.010000,14.688200,2.282000,14.688228,7.813000,0.000000,0.000000,0.000000
0.010000,14.766330,2.282000,14.766358,7.813000,-0.000000,-0.000000,0.000000
0.010000,14.844460,2.282000,14.844488,7.813000,0.000000,0.000000,0.000000
0.010000,14.922590,2.282000,14.922618,7.813000,0.000000,0.000000,0.000000
0.010000,15.000720,2.282000,15.000748,7.813000,0.000000,0.000000,0.000000
0.010000,15.078850,2.282000,15.078878,7.813000,0.000000,0.000000,0.000000
0.010000,15.156980,2.282000,15.157008,7.813000,0.000000,0.000000,0.000000
0.010000,15.235110,2.282000,15.235138,7.813000,0.000000,0.000000,0.000000
0.010000,15.313240,2.282000,15.313268,7.813000,0.000000,0.000000,0.000000
0.010000,15.391370,2.282000,15.391398,7.813000,0.000000,0.000000,0.000000
0.010000,15.469500,2.282000,15.469528,7.813000,0.000000,0.000000,0.000000
0.010000,15.547630,2.282000,15.547658,7.813000,0.000000,0.000000,0.000000
0.010000,15.625760,2.282000,15.625788,7.813000,0.000000,0.000000,0.000000
0.010000,15.703890,2.282000,15.703918,7.813000,0.000000,0.000000,0.000000
0.010000,15.782020,2.282000,15.782048,7.813000,0.000000,0.000000,0.000000
0.010000,15.860150,2.282000,15.860178,7.813000,0.000000,0.000000,0.000000
0.010000,15.938280,2.282000,15.938308,7.813000,0.000000,0.000000,0.000000
0.010000,16.016410,2.282000,16.016438,7.813000,0.000000,0.000000,0.000000
0.010000,16.094540,2.282000,16.094568,7.813000,0.000000,-0.000000,0.000000
0.010000,16.172670,2.282000,16.172698,7.813000,0.000000,0.000000,0.000000
0.010000,16.250800,2.282000,16.250828,7.813000,0.000000,0.000000,0.000000
0.010000,16.328930,2.282000,16.328958,7.813000,0.000000,0.000000,0.000000
0.010000,16.407060,2.282000,16.407088,7.813000,0.000000,0.000000,0.000000
0.010000,16.485190,2.282000,16.485218,7.813000,0.000000,0.000000,0.000000
0.010000,16.563320,2.282000,16.563348,7.813000,0.000000,0.000000,0.000000
0.010000,16.641450,2.282000,16.641478,7.813000,0.000000,0.000000,0.000000
0.010000,16.719580,2.282000,16.719608,7.813000,0.000000,0.000000,0.000000
0.010000,16.797710,2.282000,16.797738,7.813000,0.000000,0.000000,0.000000
0.010000,16.875840,2.282000,16.875868,7.813000,0.000000,0.000000,0.000000
0.010000,16.953970,2.282000,16.953998,7.813000,0.000000,0.000000,0.000000
0.010000,17.032100,2.282000,17.032128,7.813000,0.000000,0.000000,0.000000
0.010000,17.110230,2.282000,17.110258,7.813000,0.000000,0.000000,0.000000
0.010000,17.188360,2.282000,17.188388,7.813000,0.000000,-0.000000,0.000000
0.010000,17.266490,2.282000,17.266518,7.813000,0.000000,0.000000,0.000000
0.010000,17.344620,2.282000,17.344648,7.813000,0.000000,0.000000,0.000000
0.010000,17.422750,2.282000,17.422778,7.813000,0.000000,0.000000,0.000000
0.010000,17.500880,2.282000,17.500908,7.813000,0.000000,0.000000,0.000000
0.010000,17.579010,2.282000,17.579038,7.813000,0.000000,0.000000,0.000000
0.010000,17.657140,2.282000,17.657168,7.813000,0.000000,0.000000,0.000000
0.010000,17.735270,2.282000,17.735298,7.813000,0.000000,0.000000,0.000000
0.010000,17.813400,2.282000,17.813428,7.813000,-0.000000,-0.000000,0.000000
0.010000,17.891530,2.282000,17.891558,7.813000,0.000000,0.000000,0.000000
0.010000,17.969660,2.282000,17.969688,7.813000,0.000000,0.000000,0.000000
0.010000,18.047790,2.282000,18.047818,7.813000,0.000000,0.000000,0.000000
0.010000,18.125920,2.282000,18.125948,7.813000,0.000000,0.000000,0.000000
0.010000,18.204050,2.282000,18.204078,7.813000,0.000000,0.000000,0.000000
0.010000,18.282180,2.282000,18.282208,7.813000,0.000000,0.000000,0.000000
0.010000,18.360310,2.282000,18.360338,7.813000,0.000000,0.000000,0.000000
0.010000,18.438440,2.282000,18.438468,7.813000,0.000000,0.000000,0.000000
0.010000,18.516570,2.282000,18.516598,7.813000,0.000000,0.000000,0.000000
0.010000,18.594700,2.282000,18.594728,7.813000,0.000000,0.000000,0.000000
0.010000,18.672830,2.282000,18.672858,7.813000,0.000000,0.000000,0.000000
0.010000,18.750960,2.282000,18.750988,7.813000,0.000000,0.000000,0.000000
0.010000,18.829090,2.282000,18.829118,7.813000,0.000000,0.000000,0.000000
0.010000,18.907220,2.282000,18.907248,7.813000,-0.000000,-0.000000,0.000000
0.010000,18.985350,2.282000,18.985378,7.813000,-0.000000,0.000000,0.000000
0.010000,19.063480,2.282000,19.063508,7.813000,0.000000,0.000000,0.000000
0.010000,19.141610,2.282000,19.141638,7.813000,0.000000,0.000000,0.000000
0.010000,19.219740,2.282000,19.219768,7.813000,0.000000,-0.000000,0.000000
0.010000,19.297870,2.282000,19.297898,7.813000,-0.000000,-0.000000,0.000000
0.010000,19.376000,2.282000,19.376028,7.813000,0.000000,0.000000,0.000000
0.010000,19.454130,2.282000,19.454158,7.813000,0.000000,0.000000,0.000000
0.010000,19.532260,2.282000,19.532288,7.813000,-0.000000,-0.000000,0.000000
0.010000,19.610390,2.282000,19.610418,7.813000,-0.000000,0.000000,0.000000
0.010000,19.688520,2.282000,19.688548,7.813000,0.000000,0.000000,0.000000
0.010000,19.766650,2.282000,19.766678,7.813000,0.000000,0.000000,0.000000
0.010000,19.844780,2.282000,19.844808,7.813000,-0.000000,-0.000000,0.000000
0.010000,19.922910,2.282000,19.922938,7.813000,0.000000,0.000000,0.000000
0.010000,20.001040,2.282000,20.001068,7.813000,0.000000,0.000000,0.000000
0.010000,20.079170,2.282000,20.079198,7.813000,0.000000,0.000000,0.000000
0.010000,20.157300,2.282000,20.157328,7.813000,0.000000,0.000000,0.000000
0.010000,20.235430,2.282000,20.235458,7.813000,0.000000,0.000000,0.000000
0.010000,20.313560,2.282000,20.313588,7.813000,0.000000,0.000000,0.000000
0.010000,20.391690,2.282000,20.391718,7.813000,0.000000,0.000000,0.000000
